Telstra ID,Ticket Type,Cycle Status,Service,Assignment Group,Reporting Region,Priority,CEC,Open Date Time,Assignee,Resolved/Closed Date,Category,Status,Parent ID,Site Name,Update Time,Known Error
CH-0004,Ch - Service Request,Suspended,Video,PROCESS VIDEO SERVICES,North West,1,5AD,24/2/2022,John Doe,,Change,Open,PRB-0001,Site Name 1,05/03/2022 00:00,
CH-0009,Ch - Task,Suspended,Voice,PROCESS VIDEO SERVICES,Unknown,2,9GF,26/2/2022,Jane.Doe@domain.com,4/9/2022 0:29,Change,Closed,PRB-0002,Unknown,04/09/2022 00:29,
CH-0014,Ch - Normal,Suspended,Mobile,PROCESS VIDEO SERVICES,North West,3,JD9,1/3/2022,Jane Doe,,Change,Open,PRB-0003,,09/03/2022 00:00,
CH-0019,Ch - Emergency,Suspended,Video,PROCESS VOICE SERVICES,Unknown,4,ZX2,3/3/2022,John.Doe@domain.com,,Change,Open,PRB-0004,Site Name 5,22/03/2022 00:00,
CH-0024,Ch - Service Request,Suspended,Voice,PROCESS VOICE SERVICES,North West,U,5AD,5/3/2022,Jane Doe,5/9/2022 12:29,Change,Closed,PRB-0005,Site Name 2,05/09/2022 12:29,
CH-0029,Ch - Task,Suspended,Mobile,PROCESS VOICE SERVICES,Unknown,,9GF,7/3/2022,Jane.Doe@domain.com,,Change,Open,PRB-0006,,14/03/2022 00:00,
CH-0034,Ch - Normal,Suspended,Video,PROCESS MOBILES SERVCES,North West,,JD9,10/3/2022,Jane Doe,7/9/2022 0:29,Change,Closed,PRB-0007,Site Name 2,07/09/2022 00:29,
CH-0039,Ch - Emergency,Suspended,Voice,PROCESS MOBILES SERVCES,Unknown,U,ZX2,12/3/2022,Jane.Doe@domain.com,,Change,Open,PRB-0008,Site Name 5,24/03/2022 00:00,
CH-0044,Ch - Service Request,Suspended,Mobile,PROCESS MOBILES SERVCES,North West,4,5AD,14/3/2022,Jane Doe,,Change,Open,PRB-0009,Unknown,29/03/2022 00:00,
CH-0049,Ch - Task,Suspended,Video,PROCESS VIDEO SERVICES,Unknown,3,9GF,16/3/2022,,8/9/2022 12:29,Change,Closed,PRB-0010,Site Name 1,08/09/2022 12:29,
CH-0054,Ch - Normal,Suspended,Voice,PROCESS VIDEO SERVICES,North West,2,JD9,19/3/2022,,,Change,Open,PRB-0011,Site Name 5,27/03/2022 00:00,
CH-0059,Ch - Emergency,Suspended,Mobile,PROCESS MOBILES SERVCES,Unknown,1,ZX2,21/3/2022,John Doe,10/9/2022 0:29,Change,Closed,PRB-0012,Site Name 1,10/09/2022 00:29,
CH-0064,Ch - Service Request,Suspended,Video,PROCESS VOICE SERVICES,North West,U,5AD,23/3/2022,Jane.Doe@domain.com,,Change,Open,PRB-0013,Unknown,28/03/2022 00:00,
